Date/Time,Rainfall total (mm)
01/11/2023,8
31/10/2023,0.2
30/10/2023,2.2
29/10/2023,7
28/10/2023,0.8
27/10/2023,1.8
26/10/2023,1.2
25/10/2023,1.2
24/10/2023,0.2
23/10/2023,0
22/10/2023,0.2
21/10/2023,17
20/10/2023,10.6
19/10/2023,13
18/10/2023,0
17/10/2023,0
16/10/2023,0.2
15/10/2023,0.4
14/10/2023,33.6
13/10/2023,11.4
12/10/2023,7.6
11/10/2023,0.2
10/10/2023,0
09/10/2023,0
08/10/2023,0
07/10/2023,0
06/10/2023,0
05/10/2023,3.6
04/10/2023,0
03/10/2023,0.2
02/10/2023,0
01/10/2023,0
30/09/2023,0.2
29/09/2023,0
28/09/2023,0.2
27/09/2023,0
26/09/2023,0.2
25/09/2023,0
24/09/2023,0
23/09/2023,0.2
22/09/2023,0.2
21/09/2023,0
20/09/2023,0.2
19/09/2023,0.2
18/09/2023,0.2
17/09/2023,0.2
16/09/2023,0
15/09/2023,0
14/09/2023,0.2
13/09/2023,0.2
12/09/2023,0
11/09/2023,0.6
10/09/2023,0
09/09/2023,0
08/09/2023,0
07/09/2023,0
06/09/2023,0
05/09/2023,0
04/09/2023,0
03/09/2023,0
02/09/2023,0.2
01/09/2023,0.4
31/08/2023,0.8
30/08/2023,0.4
29/08/2023,0.6
28/08/2023,0
27/08/2023,0
26/08/2023,1.6
25/08/2023,1.2
24/08/2023,0.2
23/08/2023,0
22/08/2023,2
21/08/2023,0
20/08/2023,0
19/08/2023,0.4
18/08/2023,4.4
17/08/2023,0
16/08/2023,0
15/08/2023,0
14/08/2023,7.4
13/08/2023,0
12/08/2023,3.2
11/08/2023,0
10/08/2023,0
09/08/2023,2.4
08/08/2023,0.2
07/08/2023,0.2
06/08/2023,0
05/08/2023,0.2
04/08/2023,0
03/08/2023,0.2
02/08/2023,0
01/08/2023,0.2
31/07/2023,0
30/07/2023,0.2
29/07/2023,0
28/07/2023,0.2
27/07/2023,0
26/07/2023,0.2
25/07/2023,0.2
24/07/2023,0.2
23/07/2023,0.2
22/07/2023,0.4
21/07/2023,0
20/07/2023,0
19/07/2023,0.2
18/07/2023,0
17/07/2023,0
16/07/2023,0.2
15/07/2023,0.4
14/07/2023,1
13/07/2023,0.2
12/07/2023,0.6
11/07/2023,7.6
10/07/2023,8.2
09/07/2023,0.6
08/07/2023,3.4
07/07/2023,0
06/07/2023,0
05/07/2023,0.4
04/07/2023,11.2
03/07/2023,2.8
02/07/2023,0
01/07/2023,0.2
30/06/2023,0.8
29/06/2023,2.4
28/06/2023,0.6
27/06/2023,0
26/06/2023,0
25/06/2023,0
24/06/2023,0
23/06/2023,0
22/06/2023,0
21/06/2023,0
20/06/2023,15.6
19/06/2023,0.2
18/06/2023,4.8
17/06/2023,0
16/06/2023,0
15/06/2023,0
14/06/2023,0
13/06/2023,0.2
12/06/2023,1
11/06/2023,3.4
10/06/2023,11.2
09/06/2023,0
08/06/2023,0
07/06/2023,0
06/06/2023,0
05/06/2023,0
04/06/2023,0
03/06/2023,0
02/06/2023,0
01/06/2023,0
31/05/2023,0.6
30/05/2023,0
29/05/2023,0
28/05/2023,0
27/05/2023,0
26/05/2023,0
25/05/2023,0
24/05/2023,0
23/05/2023,0
22/05/2023,0
21/05/2023,0
20/05/2023,0
19/05/2023,7.8
18/05/2023,0
17/05/2023,0
16/05/2023,0
15/05/2023,0
14/05/2023,0
13/05/2023,0
12/05/2023,0.2
11/05/2023,1.6
10/05/2023,2.6
09/05/2023,2.6
08/05/2023,14.2
07/05/2023,0
06/05/2023,10.6
05/05/2023,1.6
04/05/2023,5.8
03/05/2023,0
02/05/2023,0
01/05/2023,0.2
30/04/2023,0.2
29/04/2023,0
28/04/2023,0.2
27/04/2023,10.4
26/04/2023,0
25/04/2023,0
24/04/2023,7.6
23/04/2023,1.2
22/04/2023,1.4
21/04/2023,0.8
20/04/2023,0.6
19/04/2023,0
18/04/2023,0
17/04/2023,1
16/04/2023,0
15/04/2023,0
14/04/2023,7.400001
13/04/2023,0
12/04/2023,6.4
11/04/2023,7.2
10/04/2023,9.4
09/04/2023,0.2
08/04/2023,0
07/04/2023,0
06/04/2023,2.2
05/04/2023,3.4
04/04/2023,0
03/04/2023,0.2
02/04/2023,0
01/04/2023,1.2
31/03/2023,31.2
30/03/2023,3.8
29/03/2023,3.4
28/03/2023,2.6
27/03/2023,0
26/03/2023,10.4
25/03/2023,1
24/03/2023,5
23/03/2023,9.599999
22/03/2023,14.8
21/03/2023,1.6
20/03/2023,2
19/03/2023,0.2
18/03/2023,2.4
17/03/2023,0.2
16/03/2023,0.8
15/03/2023,6.4
14/03/2023,0.8
13/03/2023,2.8
12/03/2023,1.6
11/03/2023,2
10/03/2023,4.6
09/03/2023,14
08/03/2023,4.8
07/03/2023,5.8
06/03/2023,1.2
05/03/2023,0
04/03/2023,0
03/03/2023,0
02/03/2023,0
01/03/2023,1.2
28/02/2023,0.2
27/02/2023,0.4
26/02/2023,0
25/02/2023,0
24/02/2023,0.8
23/02/2023,0.2
22/02/2023,5.6
21/02/2023,0
20/02/2023,0
19/02/2023,0
18/02/2023,0
17/02/2023,0
16/02/2023,0.2
15/02/2023,0.4
14/02/2023,0
13/02/2023,0
12/02/2023,0
11/02/2023,0
10/02/2023,0.2
09/02/2023,0
08/02/2023,0.2
07/02/2023,0
06/02/2023,0.2
05/02/2023,0
04/02/2023,0
03/02/2023,0
02/02/2023,0
01/02/2023,0
31/01/2023,0
30/01/2023,0.2
29/01/2023,0
28/01/2023,0
27/01/2023,0
26/01/2023,0.4
25/01/2023,0.4
24/01/2023,0.2
23/01/2023,0
22/01/2023,0.2
21/01/2023,0.2
20/01/2023,0
19/01/2023,0.2
18/01/2023,0.2
17/01/2023,0
16/01/2023,0
15/01/2023,0
14/01/2023,11.8
13/01/2023,0
12/01/2023,12.6
11/01/2023,10.4
10/01/2023,5.6
09/01/2023,0.2
08/01/2023,0.2
07/01/2023,5.2
06/01/2023,1.4
05/01/2023,1
04/01/2023,2.2
03/01/2023,3.6
02/01/2023,0.4
01/01/2023,3.6
31/12/2022,10.8
30/12/2022,0
29/12/2022,2.4
28/12/2022,1.6
27/12/2022,3.6
26/12/2022,3.2
25/12/2022,9
24/12/2022,17
23/12/2022,1
22/12/2022,0.8
21/12/2022,0
20/12/2022,0.2
19/12/2022,0.6
18/12/2022,0
17/12/2022,0.2
16/12/2022,0
15/12/2022,0
14/12/2022,0.2
13/12/2022,0.8
12/12/2022,0.2
11/12/2022,1.4
10/12/2022,0.8
09/12/2022,6
08/12/2022,2.2
07/12/2022,4
06/12/2022,2.8
05/12/2022,0.6
04/12/2022,1.4
03/12/2022,2
02/12/2022,0
01/12/2022,5.2
30/11/2022,0.2
29/11/2022,0
28/11/2022,2.2
27/11/2022,2.8
26/11/2022,0.2
25/11/2022,3.8
24/11/2022,16.8
23/11/2022,0
22/11/2022,8.8
21/11/2022,3.6
20/11/2022,0.2
19/11/2022,0
18/11/2022,3
17/11/2022,15.6
16/11/2022,14.8
15/11/2022,1.4
14/11/2022,0
13/11/2022,0
12/11/2022,0
11/11/2022,0
10/11/2022,0
09/11/2022,6.2
08/11/2022,0.8
07/11/2022,6
06/11/2022,2
05/11/2022,0.2
04/11/2022,6.4
03/11/2022,6.8
02/11/2022,7
01/11/2022,5.4
31/10/2022,0.6
30/10/2022,6
29/10/2022,0.2
28/10/2022,0.8
27/10/2022,0
26/10/2022,0.2
25/10/2022,10.6
24/10/2022,29
23/10/2022,1.4
22/10/2022,21.2
21/10/2022,2.2
20/10/2022,0
19/10/2022,0.2
18/10/2022,0
17/10/2022,3.8
16/10/2022,0.6
15/10/2022,1.2
14/10/2022,0.8
13/10/2022,0
12/10/2022,0
11/10/2022,3.8
10/10/2022,0.2
09/10/2022,0.2
08/10/2022,3.4
07/10/2022,0
06/10/2022,0.8
05/10/2022,0
04/10/2022,0
03/10/2022,0
02/10/2022,0.4
01/10/2022,10.6
30/09/2022,0.4
29/09/2022,0.2
28/09/2022,3.8
27/09/2022,1.6
26/09/2022,0
25/09/2022,0
24/09/2022,2.8
23/09/2022,0.4
22/09/2022,0
21/09/2022,0
20/09/2022,0
19/09/2022,0
18/09/2022,0
17/09/2022,0
16/09/2022,0
15/09/2022,0.4
14/09/2022,2.4
13/09/2022,0
12/09/2022,0.2
11/09/2022,0.2
10/09/2022,2.4
09/09/2022,4.8
08/09/2022,0.6
07/09/2022,1.4
06/09/2022,15
05/09/2022,3.8
04/09/2022,0
03/09/2022,0
02/09/2022,1.6
01/09/2022,0
31/08/2022,0
30/08/2022,0
29/08/2022,0
28/08/2022,0
27/08/2022,0
26/08/2022,1.6
25/08/2022,0
24/08/2022,0.6
23/08/2022,0
22/08/2022,0
21/08/2022,0
20/08/2022,0
19/08/2022,0.2
18/08/2022,0
17/08/2022,3.4
16/08/2022,0
15/08/2022,0
14/08/2022,0
13/08/2022,0
12/08/2022,0
11/08/2022,0
10/08/2022,0
09/08/2022,0
08/08/2022,0
07/08/2022,0
06/08/2022,0
05/08/2022,0
04/08/2022,0
03/08/2022,0
02/08/2022,0
01/08/2022,0.6
31/07/2022,0
30/07/2022,0
29/07/2022,0
28/07/2022,0
27/07/2022,0
26/07/2022,0
25/07/2022,0.8
24/07/2022,0
23/07/2022,1
22/07/2022,0.4
21/07/2022,0.4
20/07/2022,0
19/07/2022,0
18/07/2022,0
17/07/2022,0
16/07/2022,0
15/07/2022,0
14/07/2022,0
13/07/2022,0
12/07/2022,0
11/07/2022,0
10/07/2022,0
09/07/2022,0
08/07/2022,0
07/07/2022,0
06/07/2022,0
05/07/2022,0
04/07/2022,0
03/07/2022,2
02/07/2022,0.4
01/07/2022,4
30/06/2022,0.6
29/06/2022,0.2
28/06/2022,1
27/06/2022,0
26/06/2022,0.2
25/06/2022,0.2
24/06/2022,0.6
23/06/2022,0
22/06/2022,0
21/06/2022,0
20/06/2022,1
19/06/2022,8
18/06/2022,0
17/06/2022,0
16/06/2022,0
15/06/2022,0
14/06/2022,0
13/06/2022,0
12/06/2022,0
11/06/2022,0.4
10/06/2022,0.6
09/06/2022,3.4
08/06/2022,0
07/06/2022,4.8
06/06/2022,19.6
05/06/2022,2.4
04/06/2022,0
03/06/2022,0
02/06/2022,0.2
01/06/2022,2.8
31/05/2022,0.8
30/05/2022,0
29/05/2022,0
28/05/2022,0
27/05/2022,0
26/05/2022,0.2
25/05/2022,3.2
24/05/2022,1.8
23/05/2022,0
22/05/2022,0
21/05/2022,2.2
20/05/2022,0.6
19/05/2022,12.2
18/05/2022,1.2
17/05/2022,3.6
16/05/2022,4.6
15/05/2022,0.2
14/05/2022,0
13/05/2022,0
12/05/2022,6.6
11/05/2022,0.4
10/05/2022,0
09/05/2022,0
08/05/2022,0.8
07/05/2022,0.6
06/05/2022,0
05/05/2022,5
04/05/2022,0.8
03/05/2022,0
02/05/2022,0.4
01/05/2022,0
30/04/2022,0
29/04/2022,0
28/04/2022,0
27/04/2022,0
26/04/2022,0
25/04/2022,0
24/04/2022,0
23/04/2022,0
22/04/2022,0
21/04/2022,0
20/04/2022,0
19/04/2022,0
18/04/2022,0
17/04/2022,0
16/04/2022,0
15/04/2022,0
14/04/2022,0.2
13/04/2022,1.6
12/04/2022,0
11/04/2022,0
10/04/2022,0.2
09/04/2022,0.6
08/04/2022,4
07/04/2022,2
06/04/2022,0
05/04/2022,5.6
04/04/2022,0
03/04/2022,1.4
02/04/2022,0
01/04/2022,0.2
31/03/2022,0.4
30/03/2022,1.6
29/03/2022,0.2
28/03/2022,0
27/03/2022,0
26/03/2022,0
25/03/2022,0
24/03/2022,0
23/03/2022,0
22/03/2022,0
21/03/2022,0.2
20/03/2022,0
19/03/2022,0.2
18/03/2022,0.2
17/03/2022,17.8
16/03/2022,0
15/03/2022,0.2
14/03/2022,1.8
13/03/2022,0.8
12/03/2022,5.8
11/03/2022,0
10/03/2022,0
09/03/2022,0
08/03/2022,0
07/03/2022,0.6
06/03/2022,0.6
05/03/2022,1.2
04/03/2022,0.6
03/03/2022,6.2
02/03/2022,6.8
01/03/2022,9.2
28/02/2022,0
27/02/2022,0
26/02/2022,0
25/02/2022,3.4
24/02/2022,0
23/02/2022,0.4
22/02/2022,0
21/02/2022,9.2
20/02/2022,6
19/02/2022,2.8
18/02/2022,0
17/02/2022,0.8
16/02/2022,6
15/02/2022,1.4
14/02/2022,9.4
13/02/2022,1
12/02/2022,0
11/02/2022,0.2
10/02/2022,1.6
09/02/2022,0
08/02/2022,0
07/02/2022,3
06/02/2022,0.4
05/02/2022,6
04/02/2022,0
03/02/2022,0
02/02/2022,0
01/02/2022,0.2
31/01/2022,0.4
30/01/2022,0
29/01/2022,0.2
28/01/2022,0
27/01/2022,0
26/01/2022,0
25/01/2022,0
24/01/2022,0
23/01/2022,0
22/01/2022,0
21/01/2022,0
20/01/2022,0.2
19/01/2022,0.2
18/01/2022,0.2
17/01/2022,0.2
16/01/2022,0.2
15/01/2022,0.2
14/01/2022,0.2
13/01/2022,0.2
12/01/2022,2
11/01/2022,1
10/01/2022,0
09/01/2022,5.4
08/01/2022,0.4
07/01/2022,1
06/01/2022,0
05/01/2022,5
04/01/2022,0.2
03/01/2022,2.4
02/01/2022,0.8
01/01/2022,5.2
31/12/2021,0.4
30/12/2021,0
29/12/2021,2.4
28/12/2021,1.6
27/12/2021,3.6
26/12/2021,3.2
25/12/2021,9
24/12/2021,17
23/12/2021,1
22/12/2021,0.8
21/12/2021,0
20/12/2021,0.2
19/12/2021,0.6
18/12/2021,0
17/12/2021,0.2
16/12/2021,0
15/12/2021,0
14/12/2021,0.2
13/12/2021,0.8
12/12/2021,0.2
11/12/2021,1.4
10/12/2021,0.8
09/12/2021,6
08/12/2021,2.2
07/12/2021,4
06/12/2021,2.8
05/12/2021,0.6
04/12/2021,1.4
03/12/2021,2
02/12/2021,0
01/12/2021,5.2
30/11/2021,0.2
29/11/2021,1.8
28/11/2021,0
27/11/2021,6.8
26/11/2021,3.2
25/11/2021,0
24/11/2021,0
23/11/2021,0
22/11/2021,0
21/11/2021,0
20/11/2021,0
19/11/2021,0
18/11/2021,0
17/11/2021,0.2
16/11/2021,0.2
15/11/2021,0
14/11/2021,0
13/11/2021,0
12/11/2021,3.6
