Date/Time,Rainfall total (mm)
11/11/2021,0.6
10/11/2021,0.6
09/11/2021,0.2
08/11/2021,0.4
07/11/2021,0
06/11/2021,0.2
05/11/2021,0.2
04/11/2021,0
03/11/2021,0.4
02/11/2021,0.2
01/11/2021,1.6
31/10/2021,12
30/10/2021,2
29/10/2021,9
28/10/2021,0
27/10/2021,0
26/10/2021,0.2
25/10/2021,0.4
24/10/2021,0.2
23/10/2021,0
22/10/2021,0
21/10/2021,0.2
20/10/2021,19
19/10/2021,10.2
18/10/2021,3
17/10/2021,0
16/10/2021,1.8
15/10/2021,0
14/10/2021,0
13/10/2021,0
12/10/2021,1.4
11/10/2021,0
10/10/2021,0
09/10/2021,0
08/10/2021,0.4
07/10/2021,0
06/10/2021,0
05/10/2021,0
04/10/2021,4.4
03/10/2021,0.2
02/10/2021,17.6
01/10/2021,0.6
30/09/2021,2.8
29/09/2021,0.2
28/09/2021,27
27/09/2021,6.6
26/09/2021,0
25/09/2021,0
24/09/2021,0
23/09/2021,0
22/09/2021,0.2
21/09/2021,0
20/09/2021,0
19/09/2021,1.8
18/09/2021,0.2
17/09/2021,0
16/09/2021,0
15/09/2021,0.2
14/09/2021,15.6
13/09/2021,0.2
13/09/2021,0
12/09/2021,0
11/09/2021,0
10/09/2021,2.2
09/09/2021,4
08/09/2021,1.2
07/09/2021,0
06/09/2021,0
05/09/2021,0
04/09/2021,0
03/09/2021,0
02/09/2021,0
01/09/2021,0
31/08/2021,0
30/08/2021,0
29/08/2021,0
28/08/2021,0
27/08/2021,0
26/08/2021,0
25/08/2021,0.6
24/08/2021,0
23/08/2021,0
22/08/2021,0
21/08/2021,14.6
20/08/2021,0
19/08/2021,0.8
18/08/2021,0
17/08/2021,0
16/08/2021,0.195
15/08/2021,0.78
14/08/2021,0
13/08/2021,0.195
12/08/2021,8.97
11/08/2021,0
10/08/2021,0
09/08/2021,0.585
08/08/2021,0.585
07/08/2021,0.78
06/08/2021,0.39
05/08/2021,3.9
04/08/2021,0
03/08/2021,0.195
02/08/2021,7.02
01/08/2021,0.585
31/07/2021,2.535
30/07/2021,7.02
29/07/2021,0.585
28/07/2021,0.585
27/07/2021,11.11
26/07/2021,0
25/07/2021,0.975
24/07/2021,0.975
23/07/2021,0
22/07/2021,0
21/07/2021,0
20/07/2021,0
19/07/2021,0
18/07/2021,0
17/07/2021,0
16/07/2021,0
15/07/2021,0
14/07/2021,0
13/07/2021,0.195
12/07/2021,3.51
11/07/2021,0.585
10/07/2021,3.12
09/07/2021,0
08/07/2021,0
07/07/2021,1.755
06/07/2021,3.9
05/07/2021,7.995
04/07/2021,4.68
03/07/2021,2.73
02/07/2021,0
01/07/2021,0
30/06/2021,0
29/06/2021,0
28/06/2021,8.19
27/06/2021,1.95
26/06/2021,0
25/06/2021,2.145
24/06/2021,0.195
23/06/2021,0
22/06/2021,3.315
21/06/2021,5.46
20/06/2021,1.17
19/06/2021,8.58
18/06/2021,26.91
17/06/2021,2.925
16/06/2021,0
15/06/2021,0
14/06/2021,0
13/06/2021,0
12/06/2021,0
11/06/2021,0
10/06/2021,0
09/06/2021,0
08/06/2021,0
07/06/2021,0
06/06/2021,0
05/06/2021,0
04/06/2021,0
03/06/2021,0
02/06/2021,0
01/06/2021,0
31/05/2021,0
30/05/2021,0
29/05/2021,0
28/05/2021,0.195
27/05/2021,0
26/05/2021,0
25/05/2021,0
24/05/2021,5.265
23/05/2021,3.9
22/05/2021,2.535
21/05/2021,6.63
20/05/2021,0.585
19/05/2021,3.315
18/05/2021,1.755
17/05/2021,3.705
16/05/2021,6.045
15/05/2021,10.14
14/05/2021,7.605
13/05/2021,14.04
12/05/2021,0.585
11/05/2021,6.435
10/05/2021,1.56
09/05/2021,0.78
08/05/2021,12.48
07/05/2021,0
06/05/2021,0.39
05/05/2021,2.34
04/05/2021,0.195
03/05/2021,11.7
02/05/2021,0
01/05/2021,0.585
30/04/2021,0
29/04/2021,0
28/04/2021,10.33
27/04/2021,12.67
26/04/2021,0
25/04/2021,0
24/04/2021,0
23/04/2021,0
22/04/2021,0
21/04/2021,0
20/04/2021,0
19/04/2021,0
18/04/2021,0
17/04/2021,0
16/04/2021,0
15/04/2021,0
14/04/2021,0
13/04/2021,0
12/04/2021,4.095
11/04/2021,0.78
10/04/2021,4.485
09/04/2021,0.195
08/04/2021,0.195
07/04/2021,0.195
06/04/2021,0
05/04/2021,0
04/04/2021,0.195
03/04/2021,0
02/04/2021,0
01/04/2021,0
31/03/2021,0
30/03/2021,0
29/03/2021,0
28/03/2021,0
27/03/2021,0.195
26/03/2021,4.68
25/03/2021,0.585
24/03/2021,0.39
23/03/2021,0
22/03/2021,0
21/03/2021,0
20/03/2021,0
19/03/2021,0.585
18/03/2021,0
17/03/2021,0
16/03/2021,0.195
15/03/2021,1.365
14/03/2021,0.39
13/03/2021,4.875
12/03/2021,3.315
11/03/2021,3.9
10/03/2021,2.925
09/03/2021,0.195
08/03/2021,0
07/03/2021,0
06/03/2021,0
05/03/2021,0
04/03/2021,1.755
03/03/2021,3.12
02/03/2021,0
01/03/2021,0.195
28/02/2021,0
27/02/2021,0.195
26/02/2021,0.195
25/02/2021,0
24/02/2021,0
23/02/2021,0
22/02/2021,1.56
21/02/2021,0.39
20/02/2021,0
19/02/2021,0.39
18/02/2021,3.12
17/02/2021,7.8
16/02/2021,3.315
15/02/2021,0.78
14/02/2021,2.535
13/02/2021,0
12/02/2021,0
11/02/2021,0
10/02/2021,0
09/02/2021,0
08/02/2021,0
07/02/2021,1.17
06/02/2021,2.34
05/02/2021,2.145
04/02/2021,4.68
03/02/2021,0.195
02/02/2021,9.36
01/02/2021,1.365
31/01/2021,0.39
30/01/2021,17.74
29/01/2021,5.46
28/01/2021,14.04
27/01/2021,9.94
26/01/2021,4.29
25/01/2021,1.17
24/01/2021,1.36
23/01/2021,0
22/01/2021,1.36
21/01/2021,3.9
20/01/2021,11.89
19/01/2021,8.77
18/01/2021,0.39
17/01/2021,0.39
16/01/2021,7.02
15/01/2021,0
14/01/2021,3.12
13/01/2021,2.54
12/01/2021,3.51
11/01/2021,0.78
10/01/2021,0
09/01/2021,0.19
08/01/2021,0.39
07/01/2021,0
06/01/2021,0.39
05/01/2021,0
04/01/2021,0
03/01/2021,0.19
02/01/2021,0
01/01/2021,0.19
31/12/2020,0
30/12/2020,3.9
29/12/2020,1.95
28/12/2020,6.24
27/12/2020,1.56
26/12/2020,9.94
25/12/2020,5.655
24/12/2020,0
23/12/2020,0.39
22/12/2020,0.585
21/12/2020,0.585
20/12/2020,0.39
19/12/2020,0.78
18/12/2020,0.975
17/12/2020,0.975
16/12/2020,0.78
15/12/2020,0.39
14/12/2020,3.9
13/12/2020,4.29
12/12/2020,0
11/12/2020,2.73
10/12/2020,1.755
09/12/2020,0
08/12/2020,0.975
07/12/2020,1.755
06/12/2020,0.585
05/12/2020,0.585
04/12/2020,0.975
03/12/2020,1.56
02/12/2020,0.195
01/12/2020,0
30/11/2020,0.195
29/11/2020,0.195
28/11/2020,0
27/11/2020,0.39
26/11/2020,0.585
25/11/2020,0.195
24/11/2020,0
23/11/2020,0.39
22/11/2020,0.195
21/11/2020,0.585
20/11/2020,1.17
19/11/2020,0.195
18/11/2020,0.39
17/11/2020,0
16/11/2020,0.39
15/11/2020,3.705
14/11/2020,10.33
13/11/2020,0.39
12/11/2020,0.195
11/11/2020,3.9
10/11/2020,0.39
09/11/2020,2.925
08/11/2020,1.17
07/11/2020,0
06/11/2020,0.195
05/11/2020,0.195
04/11/2020,0.195
03/11/2020,5.46
02/11/2020,3.12
01/11/2020,0.78
31/10/2020,8.19
30/10/2020,3.12
29/10/2020,1.95
28/10/2020,4.095
27/10/2020,4.095
26/10/2020,0.195
25/10/2020,3.51
24/10/2020,9.75
23/10/2020,0.975
22/10/2020,0.975
21/10/2020,19.11
20/10/2020,1.56
19/10/2020,0
18/10/2020,0
17/10/2020,0.195
16/10/2020,0.195
15/10/2020,0.195
14/10/2020,1.365
13/10/2020,0.195
12/10/2020,5.655
11/10/2020,0.195
10/10/2020,3.12
09/10/2020,2.73
08/10/2020,1.755
07/10/2020,3.9
06/10/2020,0.195
05/10/2020,0.78
04/10/2020,0.975
03/10/2020,0.975
02/10/2020,0.585
01/10/2020,0.585
30/09/2020,0.195
29/09/2020,6.045
28/09/2020,1.755
27/09/2020,0
26/09/2020,0
25/09/2020,0
24/09/2020,0.78
23/09/2020,8.58
22/09/2020,0.39
21/09/2020,0
20/09/2020,0
19/09/2020,0
18/09/2020,0
17/09/2020,0
16/09/2020,0
15/09/2020,0
14/09/2020,0
13/09/2020,0
12/09/2020,0
11/09/2020,0
10/09/2020,0
09/09/2020,0
08/09/2020,0
07/09/2020,0
06/09/2020,0
05/09/2020,0.195
04/09/2020,0
03/09/2020,0.78
02/09/2020,1.56
01/09/2020,0
31/08/2020,0
30/08/2020,0
29/08/2020,0.195
28/08/2020,11.7
27/08/2020,13.26
26/08/2020,0
25/08/2020,22.03
24/08/2020,0
23/08/2020,0.585
22/08/2020,0.39
21/08/2020,5.07
20/08/2020,0
19/08/2020,9.75
18/08/2020,0.195
17/08/2020,27.3
16/08/2020,4.29
15/08/2020,0.39
14/08/2020,9.36
13/08/2020,0.975
12/08/2020,2.145
11/08/2020,0
10/08/2020,0
09/08/2020,0
08/08/2020,0
07/08/2020,0
06/08/2020,0
05/08/2020,0
04/08/2020,0
03/08/2020,0
02/08/2020,0
01/08/2020,0
31/07/2020,0
30/07/2020,0
29/07/2020,0
28/07/2020,0.195
27/07/2020,8.58
26/07/2020,0
25/07/2020,17.94
24/07/2020,0
23/07/2020,0
22/07/2020,0
21/07/2020,0
20/07/2020,0
19/07/2020,7.215
18/07/2020,2.925
17/07/2020,0
16/07/2020,0
15/07/2020,0
14/07/2020,0.195
13/07/2020,1.95
12/07/2020,0
11/07/2020,0
10/07/2020,0
09/07/2020,5.07
08/07/2020,12.87
07/07/2020,3.315
06/07/2020,0
05/07/2020,0.195
04/07/2020,0.78
03/07/2020,2.73
02/07/2020,0.195
01/07/2020,1.95
30/06/2020,0.975
29/06/2020,0
28/06/2020,0.585
27/06/2020,5.655
26/06/2020,0
25/06/2020,0
24/06/2020,0
23/06/2020,0
22/06/2020,0
21/06/2020,4.875
20/06/2020,0
19/06/2020,1.95
18/06/2020,31.78
17/06/2020,6.63
16/06/2020,0.195
15/06/2020,9.75
14/06/2020,0.195
13/06/2020,0
12/06/2020,1.365
11/06/2020,0.39
10/06/2020,0.78
09/06/2020,0
08/06/2020,0
07/06/2020,0.39
06/06/2020,1.95
05/06/2020,0.195
04/06/2020,1.17
03/06/2020,0.39
02/06/2020,0
01/06/2020,0
31/05/2020,0
30/05/2020,0
29/05/2020,0
28/05/2020,0
27/05/2020,0
26/05/2020,0
25/05/2020,0
24/05/2020,0
23/05/2020,0.39
22/05/2020,0
21/05/2020,0
20/05/2020,0
19/05/2020,0
18/05/2020,0
17/05/2020,0
16/05/2020,0
15/05/2020,0
14/05/2020,0
13/05/2020,0
12/05/2020,0
11/05/2020,0
10/05/2020,0.195
09/05/2020,0
08/05/2020,0
07/05/2020,0
06/05/2020,0
05/05/2020,0
04/05/2020,0
03/05/2020,0
02/05/2020,0.195
01/05/2020,1.95
30/04/2020,15.6
29/04/2020,2.535
28/04/2020,11.9
27/04/2020,0
26/04/2020,0
25/04/2020,0
24/04/2020,0
23/04/2020,0
22/04/2020,0
21/04/2020,0
20/04/2020,0
19/04/2020,0
18/04/2020,7.995
17/04/2020,3.12
16/04/2020,0
15/04/2020,0
14/04/2020,0
13/04/2020,0
12/04/2020,0
11/04/2020,0
10/04/2020,0
09/04/2020,0
08/04/2020,0
07/04/2020,0
06/04/2020,0.975
05/04/2020,0
04/04/2020,0
03/04/2020,0
02/04/2020,0
01/04/2020,0
31/03/2020,1.17
30/03/2020,0.39
29/03/2020,0
28/03/2020,0
27/03/2020,0
26/03/2020,0
25/03/2020,0
24/03/2020,0
23/03/2020,0
22/03/2020,0
21/03/2020,0
20/03/2020,0
19/03/2020,0.975
18/03/2020,3.51
17/03/2020,0
16/03/2020,0.195
15/03/2020,7.8
14/03/2020,4.095
13/03/2020,0.195
12/03/2020,1.17
11/03/2020,2.145
10/03/2020,1.17
09/03/2020,7.41
08/03/2020,2.925
07/03/2020,0.39
06/03/2020,0
05/03/2020,0.78
04/03/2020,5.265
03/03/2020,0
02/03/2020,2.34
01/03/2020,0.585
29/02/2020,4.875
28/02/2020,12.09
27/02/2020,5.46
26/02/2020,0.195
25/02/2020,0
24/02/2020,4.29
23/02/2020,3.9
22/02/2020,0.78
21/02/2020,0
20/02/2020,3.12
19/02/2020,1.56
18/02/2020,3.315
17/02/2020,0.195
16/02/2020,14.04
15/02/2020,9.94
14/02/2020,5.07
13/02/2020,8.58
12/02/2020,0
11/02/2020,0.195
10/02/2020,5.655
09/02/2020,8.77
08/02/2020,0.78
07/02/2020,0.195
06/02/2020,0.195
05/02/2020,0
04/02/2020,0
03/02/2020,0.975
02/02/2020,6.24
01/02/2020,0
31/01/2020,2.34
30/01/2020,0
29/01/2020,0.195
28/01/2020,0.975
27/01/2020,1.17
26/01/2020,5.265
25/01/2020,0
24/01/2020,0.39
23/01/2020,0.195
22/01/2020,0.39
21/01/2020,0.195
20/01/2020,0
19/01/2020,0.195
18/01/2020,0.195
17/01/2020,0.78
16/01/2020,3.51
15/01/2020,4.29
14/01/2020,10.53
13/01/2020,5.46
12/01/2020,1.365
11/01/2020,0.78
10/01/2020,0
09/01/2020,5.85
08/01/2020,2.73
07/01/2020,0
06/01/2020,0.585
05/01/2020,0.195
04/01/2020,0
03/01/2020,7.215
02/01/2020,0.39
01/01/2020,0
