GENOME,TREE_ID,DECIMAL_LATITUDE,DECIMAL_LONGITUDE,ELEVATION,ASPECT,HEIGHT,DBH,CROWN_SPREAD,CROWN_CROSS,CANOPY_CLOSURE,STALK_DENSITY,PH,P_INDEX,K_INDEX,Mg_INDEX,P_MGL,K_MGL,Mg_MGL,SAND,SILT,CLAY,SOIL_CLASS,SPRING_PHENO,MIDAPRIL_LAI,AUTUMN_PHENO,MIDNOV_LAI,MIDDEC_LAI,AUPPC,KING,VIZ_COUNT,FLOWERS,ENLARGED_CUPS,IMMAT_ACORNS,MATURE_ACORNS,GALLS,COV,CROP_PERCENT,PRODUCER
Ox002081,1,51.767694,-1.345036,112.97,219.37,28.71360091,99.63,19.7,12.5,3,4,5.4,0,2-,3,6.4,156,136,63,22,15,Sandy_Loam,40.8265537,37.35632184,19.50895876,78.12711291,17.03853955,197.879123,4.0436081,169.25,94.72222222,17.52777778,8.388888889,4.333333333,8.694444444,1.03,6.79%,3
Ox002082,2,51.763597,-1.342987,85.74,198.43,17.49856884,71.94,16.4,14.5,3,3,6.9,0,3,5,5.4,268,307,27,32,41,Clay,48.0777994,40.56631031,9.03279399,44.06240971,0,177.2498595,4.0420697,39.75,28,2.416666667,1.333333333,0.75,4.583333333,1.06,1.59%,2
Ox002083,3,51.762896,-1.340721,88.5,188.34,16.88004734,75.76,13.1,9.2,6,7,5.3,0,3,5,5.8,271,298,35,27,38,Clay,46.56676657,26.43360932,11.25268323,54.89113769,0,190.2829579,4.0660744,46.25,37.125,1.875,2.125,0.75,0.875,1.69,1.85%,2
Ox002084,4,51.763139,-1.341505,91.22,188.34,17.86487598,55.7,10.5,6.7,6,5,5.4,0,2+,5,5.2,234,266,28,32,40,Clay,45.57317976,35.71286538,17.25929608,67.72718234,16.46450587,199.0453412,4.2802064,44.5,57.05555556,5.694444444,9.611111111,1.166666667,3.166666667,1.53,1.78%,2
Ox002085,5,51.763705,-1.340764,88.91,188.34,25.77,77.35,18.1,14.4,8,6,6.6,0,3,4,5.2,394,215,26,33,41,Clay,42.72365772,18.80165289,20.2579693,69.71664699,29.10271547,196.562058,4.0582544,15.25,25.88888889,1.444444444,1.777777778,1.111111111,0.333333333,1.67,0.61%,1
Ox002086,6,51.768906,-1.340459,149.17,242.45,14.11121284,41.06,11.3,10.2,2,2,7,0,2+,3,5.8,203,120,61,19,20,Sandy_Clay_Loam,51.05248103,38.11938235,8.457017746,41.2537451,0,180.4142784,4.1752398,13.75,25,0,0,0,3.5,1.29,0.55%,1
Ox002088,8,51.770146,-1.337757,158.56,191.5,13.99738704,49.02,12.8,14.1,1,1,7.2,0,2-,3,4.6,124,107,45,26,29,Clay_Loam,42.9452698,14.527956,14.65158112,58.0659945,13.40513291,189.8954302,5.063797,55.25,14.25,3,2.5,0.166666667,0.333333333,1.04,2.22%,2
Ox002089,9,51.772437,-1.339283,155.92,294.32,20.94611556,82.76,15,11.3,6,2,7.2,0,2+,3,4,195,130,56,23,21,Sandy_Clay_Loam,45.48299928,41.83558559,9.442004505,45.21396396,0.844594595,183.9251446,4.390473,3.25,6.666666667,0.25,0.333333333,0.083333333,0.083333333,1.31,0.13%,1
Ox002090,11,51.771979,-1.337365,162.62,326.52,18.48406396,85.94,15.5,14.8,1,1,7.8,0,2-,3,8.2,155,110,45,22,33,Clay_Loam,44.12805011,17.22719574,10.77328817,52.55262521,0,177.0945393,4.3204678,77.75,52,3.166666667,1.583333333,2.333333333,0.083333333,1.19,3.12%,2
Ox002091,12,51.770011,-1.335447,159.19,167,20.60705324,73.21,14.3,9.2,3,2,7.1,0,2-,3,4.4,140,103,38,31,31,Clay_Loam,50.00730998,42.88513348,12.0047759,58.55988244,0,189.0555588,4.3569524,130.25,38.5,6.75,2.083333333,4.333333333,6.083333333,1.08,5.22%,2
Ox002092,13,51.76543,-1.337888,104.18,179,33.75828823,81.49,14.6,12.7,1,1,6.8,0,2+,3,4.8,237,170,30,35,35,Clay_Loam,34.4788961,13.25265643,15.85301063,66.67650531,10.65525384,184.5038371,4.195411,100.75,39.83333333,4.277777778,12.77777778,24.88888889,3.166666667,0.89,4.04%,3
Ox002093,14,51.77807,-1.326294,95.42,20.16,20.35549976,146.42,24,19.8,2,1,5,3,3,3,30.2,266,143,66,20,14,Sandy_Loam,38.73056128,3.166838311,22.41593718,92.1215242,17.22451081,202.8401133,4.2315388,116.5,57.66666667,13.33333333,13.91666667,15.41666667,3.25,1.37,4.67%,2
Ox002094,15,51.77966,-1.325336,74.83,18.43,28.90169631,44.56,5.5,5.5,7,3,5.6,1,2+,4,12.2,222,229,34,33,33,Clay_Loam,41.6714032,12.39786856,11.95772647,53.81882771,4.511545293,165.4365897,4.324443,104.5,52.61111111,8.111111111,14.36111111,3.916666667,6.888888889,0.77,4.19%,3
Ox002095,16,51.780441,-1.328779,77.26,5.31,26.82514677,84.99,13.8,11.2,8,4,6.6,0,3,5,6.4,353,289,14,35,51,Clay,45.31216835,32.2910902,13.93705036,56.8068622,11.17874931,186.7337234,4.2383995,18.75,53.25,1.333333333,1.583333333,0.25,0.5,1.79,0.75%,1
Ox002096,17,51.780172,-1.331045,73.69,355.4,26.12143285,112.68,12.2,12.3,7,7,6,3,3,5,32.2,378,302,20,38,42,Clay,41.48677767,23.01665034,10.05925563,48.51452824,0.555011427,176.341985,4.2748826,4.75,13.16666667,0.75,2,1,1.416666667,1.24,0.19%,1
Ox002097,18,51.779606,-1.332396,79.99,1,27.62257785,85.94,18.2,17.3,6,5,6.3,0,2+,2,7,224,90,50,27,23,Clay_Loam,41.89669275,27.38208294,10.53877809,44.15954416,7.249129471,174.3319571,4.918585,43.75,8.888888889,0.5,0.777777778,0.166666667,1.222222222,1.75,1.75%,2
Ox002098,19,51.779175,-1.334183,95.77,2.33,26.73251276,76.39,13.6,14.3,5,4,6.3,0,3,3,5.6,268,158,46,28,26,Clay_Loam,47.2291321,35.65178371,12.42786628,60.62373794,0,179.3396324,4.2125237,144,43.66666667,12.58333333,5.5,3.583333333,0.416666667,1.13,5.77%,2
Ox002099,20,51.778447,-1.337103,98.77,349.55,20.79933342,70.98,15.7,11.1,3,2,6,0,3,3,6.4,272,167,72,15,13,Sandy_Loam,49.51644037,47.94181368,14.5359022,69.35933148,1.547508511,197.4636703,4.1213386,20.25,30.66666667,8.166666667,1.333333333,1,3.5,1.12,0.81%,2
Ox002100,21,51.777639,-1.341113,95.04,337.09,21.03856574,81.49,15.6,12.8,10,3,6.8,0,2-,3,5,134,109,85,8,7,Loamy_Sand,50.53796314,40.89490114,14.59105099,68.40097121,2.77488727,189.5506236,4.1217884,11.25,38.16666667,12.66666667,5.388888889,0.888888889,2,2,0.45%,1
Ox002101,22,51.778528,-1.342072,78.36,332.4,16.52816978,57.93,17,18.7,7,4,5.6,0,4,5,9.4,419,265,44,28,28,Clay_Loam,48.21188022,28.2731377,15.20725169,66.11173815,8.069977427,195.3603001,4.193683,55.5,84.86111111,8.888888889,12.30555556,6.111111111,8.722222222,1.14,2.23%,2
Ox002102,23,51.778932,-1.340285,83.36,337.09,17.08589663,63.66,12.9,7.9,8,4,7.2,0,2+,3,5,103,120,65,18,17,Sandy_Loam,49.85475651,33.89014723,11.99702718,58.52208381,0,195.8785391,4.0693775,30,66.38888889,8.944444444,7.25,3.833333333,0.75,1.04,1.20%,2
Ox002103,24,51.779525,-1.339108,80.48,346.92,20.10539599,79.58,14.4,12.5,3,1,6.3,0,3,5,5.4,331,255,67,18,15,Sandy_Loam,55.91793349,58.64608076,12.46068884,60.78384798,0,194.8344418,4.2611945,69.25,21.77777778,9.444444444,1.111111111,1.333333333,1.444444444,1.71,2.78%,2
Ox002104,25,51.779579,-1.337714,85.46,349.3,17.6,74.48,16.7,11.6,6,4,6.5,0,3,4,9.4,297,195,47,28,25,Clay_Loam,51.82705066,49.18576598,8.80955971,42.973462,0,175.0399578,7.8891812,22,30.44444444,6.888888889,5.166666667,2.833333333,0.194444444,0.76,0.88%,1
Ox002105,26,51.779929,-1.334619,86.93,2.33,23.46304597,63.66,17.6,12.5,9,3,5.5,1,3,6,13.2,361,371,29,35,36,Clay,42.9860511,16.18798956,16.72650131,62.92428198,18.66840731,184.0846151,4.201071,16.75,27.16666667,5.666666667,3.583333333,0.75,0.583333333,1.13,0.67%,2
Ox002106,27,51.781115,-1.334009,67.41,2.33,18.26252949,69.71,15.1,8.1,7,6,5.6,0,2+,4,6.4,212,219,17,41,42,Clay,52.55723796,29.42506214,10.07924798,49.1670633,0,189.0232065,4.2865723,3.75,4.722222222,0.777777778,0.5,0.111111111,0.111111111,1.15,0.15%,1
Ox002107,28,51.782355,-1.333268,59.93,358.03,17.40270159,76.39,13.8,8.4,8,7,7.2,0,2+,3,8.8,194,160,36,24,40,Clay,44.83490009,23.38992974,10.16598361,48.0971897,1.492974239,172.1916038,4.3125781,92,36.58333333,4,6.583333333,1.583333333,8.083333333,1.64,3.69%,2
Ox002108,29,51.781843,-1.331002,64.68,359.52,26.17772033,45.84,16.8,11.3,8,7,6.8,0,2-,3,6.4,167,134,33,30,37,Clay,37.7446324,1.344610714,12.80860985,54.00130124,8.479722403,171.7688137,4.2647869,25.5,14.83333333,3.25,1.75,1.083333333,0.166666667,1.46,1.02%,2
Ox002109,30,51.761764,-1.299839,70.25,53.93,29.4026346,61.12,9.6,5.8,8,3,7.6,0,3,3,4.6,349,138,44,23,33,Clay_Loam,44.38042895,15.33512064,13.88284182,63.29758713,4.423592493,182.8857909,4.1992169,105,42,4.416666667,3.333333333,6.583333333,0.083333333,1.24,4.21%,2
Ox002110,31,51.76295,-1.299969,70.68,52.43,28.1772683,79.26,14.2,10.7,7,3,7.2,0,3,3,4.8,261,154,42,26,32,Clay_Loam,42.91183397,17.66264351,10.54268472,51.42773035,0,177.6850162,4.1658132,30.25,51.83333333,1.666666667,4.916666667,2.583333333,8.916666667,1.33,1.21%,2
Ox002111,32,51.759797,-1.29718,64.19,91.15,16.4133186,60.48,10.5,7.2,8,5,6.8,0,2-,3,5.6,167,137,64,18,18,Sandy_Loam,45.12046756,26.95610687,10.8612834,52.98187023,0,179.2502385,4.1928334,50.5,27,1.5,0,0.75,3.25,1,2.03%,1
Ox002113,34,51.771224,-1.335404,162.1,59.04,12.74256995,49.02,16.2,10.3,2,1,7.1,1,3,3,12.2,288,140,54,24,22,Sandy_Clay_Loam,45.06799053,27.27623457,17.01215278,82.98611111,0,193.0594064,4.3145044,41,38.83333333,4.416666667,3.666666667,1.5,0.666666667,0.88,1.64%,2
Ox002114,35,51.768206,-1.332222,149.07,191.3,14.26781481,77.67,11.8,11.4,4,2,7.3,0,3,3,6.4,320,151,48,25,27,Clay_Loam,52.86684506,44.57186544,13.75025484,67.07441386,0,199.6977574,4.4355381,86,27.38888889,2.916666667,1.138888889,0.611111111,4.277777778,1.25,3.45%,2
Ox002115,36,51.763112,-1.330479,142.85,247.62,20.49611556,46.47,10.3,12,2,1,7,0,3,3,8.2,342,137,53,25,22,Sandy_Clay_Loam,51.02494177,38.19875776,19.80764752,75.69875776,20.92391304,203.0267857,4.145808,186.25,76.625,3.125,1.5,1,0,0.75,7.47%,3
Ox002116,37,51.759419,-1.330043,111.85,185.37,26.7600785,91.67,19,15.3,5,4,6.9,3,4,3,30,401,165,61,22,17,Sandy_Loam,47.98865506,40.21567596,18.3216728,66.5176223,22.85639137,195.5191653,4.454045,1.25,37.22222222,5.055555556,3,0.555555556,0,1.65,0.05%,1
Ox002117,38,51.757883,-1.327776,94.47,170.54,16.10646471,77.67,19.4,12,7,3,5.1,0,3,4,7,305,204,30,36,34,Clay_Loam,42.08931316,19.50718686,20.91493106,75.53534761,26.48870637,198.3376264,4.2486831,14,49.38888889,5.333333333,2.944444444,0.222222222,0.666666667,1.18,0.56%,1
Ox002118,39,51.758934,-1.325597,109.54,190.15,19.92628192,120.96,19.8,12.7,5,2,7.5,1,4,4,14.8,549,189,62,20,18,Sandy_Loam,39.80735981,21.26168224,13.15257009,52.26635514,11.89252336,180.0002336,4.2204161,191.25,37.13888889,4.388888889,15.19444444,11.11111111,0,1.1,7.67%,3
Ox002119,41,51.761333,-1.333791,120.4,226.58,28.07981972,185.26,20.8,18.5,3,1,4.6,2,3,3,18.4,245,130,88,8,4,Sand,52.34860149,56.2483962,14.33474468,63.53605337,6.389530408,190.3992815,3.9805837,98,36.44444444,13.02777778,5.666666667,2.666666667,3.611111111,1.15,3.93%,2
